2025-05-23T12:23:37.309Z DEBUG   plugin-cln-lsps-service: Killing plugin: disabled itself at init: `dev-lsps-service` not enabled
2025-05-23T12:23:37.309Z DEBUG   lightningd: Looking for [askrene,layers]
2025-05-23T12:23:37.310Z DEBUG   lightningd: Looking for [autoclean,failedforwards,num]
2025-05-23T12:23:37.311Z DEBUG   plugin-recover: Recover Plugin Initialised!
2025-05-23T12:23:37.311Z DEBUG   plugin-recover: Gossmap loaded!
2025-05-23T12:23:37.312Z DEBUG   hsmd: Client: Received message 27 from client
2025-05-23T12:23:37.314Z DEBUG   plugin-cln-grpc: Generating a new keypair in "/home/remyers/github/lightning-cfg/.lightning/bob/regtest/ca-key.pem", it didn't exist
2025-05-23T12:23:37.314Z DEBUG   plugin-cln-grpc: Generating a new certificate for key "/home/remyers/github/lightning-cfg/.lightning/bob/regtest/ca-key.pem" at "/home/remyers/github/lightning-cfg/.lightning/bob/regtest/ca.pem"
2025-05-23T12:23:37.314Z DEBUG   plugin-cln-grpc: Generating a new keypair in "/home/remyers/github/lightning-cfg/.lightning/bob/regtest/server-key.pem", it didn't exist
2025-05-23T12:23:37.314Z DEBUG   plugin-cln-grpc: Generating a new certificate for key "/home/remyers/github/lightning-cfg/.lightning/bob/regtest/server-key.pem" at "/home/remyers/github/lightning-cfg/.lightning/bob/regtest/server.pem"
2025-05-23T12:23:37.314Z DEBUG   plugin-cln-grpc: Generating a new keypair in "/home/remyers/github/lightning-cfg/.lightning/bob/regtest/client-key.pem", it didn't exist
2025-05-23T12:23:37.314Z DEBUG   plugin-cln-grpc: Generating a new certificate for key "/home/remyers/github/lightning-cfg/.lightning/bob/regtest/client-key.pem" at "/home/remyers/github/lightning-cfg/.lightning/bob/regtest/client.pem"
2025-05-23T12:23:37.314Z INFO    plugin-cln-grpc: Connecting to "lightning-rpc" and serving grpc on 127.0.0.1:9736
2025-05-23T12:23:37.314Z DEBUG   plugin-chanbackup: Chanbackup Initialised!
2025-05-23T12:23:37.314Z INFO    plugin-chanbackup: Creating Emergency Recovery
2025-05-23T12:23:37.314Z DEBUG   lightningd: Looking for [autoclean,succeededpays,num]
2025-05-23T12:23:37.315Z DEBUG   plugin-bookkeeper: Setting up database at sqlite3://accounts.sqlite3
2025-05-23T12:23:37.315Z INFO    plugin-bookkeeper: Creating database
2025-05-23T12:23:37.315Z DEBUG   plugin-recklessrpc: plugin initialized!
2025-05-23T12:23:37.315Z DEBUG   plugin-recklessrpc: lightning-dir: /home/remyers/github/lightning-cfg/.lightning/bob/regtest/.lightning/bob
2025-05-23T12:23:37.316Z DEBUG   lightningd: Looking for [autoclean,failedpays,num]
2025-05-23T12:23:37.316Z DEBUG   lightningd: Looking for [autoclean,paidinvoices,num]
2025-05-23T12:23:37.317Z DEBUG   lightningd: Looking for [autoclean,expiredinvoices,num]
2025-05-23T12:23:37.320Z DEBUG   hsmd: Client: Received message 27 from client
2025-05-23T12:23:37.320Z DEBUG   hsmd: Client: Received message 27 from client
2025-05-23T12:23:37.320Z DEBUG   hsmd: Client: Received message 27 from client
2025-05-23T12:23:37.320Z DEBUG   connectd: REPLY WIRE_CONNECTD_ACTIVATE_REPLY with 0 fds
2025-05-23T12:23:37.320Z DEBUG   lightningd: io_break: connect_activate_done
2025-05-23T12:23:37.320Z DEBUG   lightningd: io_loop: connectd_activate
2025-05-23T12:23:37.321Z INFO    lightningd: --------------------------------------------------
2025-05-23T12:23:37.321Z INFO    lightningd: Server started with public key 0323ec7778fa9b479faf2ae69387ad7ddfdc9e288422e1bc21dde0df5caf790ddf, alias bob (color #0323ec) and lightningd v25.02-301-gcca076b
2025-05-23T12:23:37.327Z DEBUG   lightningd: Adding block 121: 50744b3176676fe312689bd3550eccf5da25581bb2df897b5eb60e2d38b96ca3
2025-05-23T12:23:37.334Z DEBUG   lightningd: Adding block 122: 4dd5d323914a9f125fd4d4e73c8375b39cce9ed11de0ff5d0de121ee3b6a6386
2025-05-23T12:23:37.341Z DEBUG   lightningd: Adding block 123: 1a6deb7f04907f18dc31ee149508dfb1d950acd02ce4723b272cb74872512f69
2025-05-23T12:23:37.347Z DEBUG   lightningd: Adding block 124: 6e5814db9f745e16b57afd6f40afb52f353e9f654b39b814fd74009dfe9f64e1
2025-05-23T12:23:37.353Z DEBUG   lightningd: Adding block 125: 592d5fa7bf2a2153f49e431bbfe44d29f34ef7f2144930a5ec98ae06563ce2c6
2025-05-23T12:23:37.361Z DEBUG   lightningd: Adding block 126: 648ff9455f50257e3929b65bdc33b21588d8b4c40c8864a97d870fc5ec151df0
2025-05-23T12:23:37.367Z DEBUG   lightningd: Adding block 127: 07b079dfce41f7f00c6cdc5d69dd66264bd70da051fbe7b93fd9a731e7a5b2df
2025-05-23T12:23:37.373Z DEBUG   lightningd: Adding block 128: 12c533464440e4e9e2790930f18c154b4c7662a410a4464307f5355fd367cee3
2025-05-23T12:23:37.380Z DEBUG   lightningd: Adding block 129: 78ba852c374b075736421b96fa8907a50ad362e72054ea05a78f213eeed056c2
2025-05-23T12:23:37.387Z DEBUG   lightningd: Adding block 130: 61449047c153f04d4cfa86a78ab16459adcc5883722a4bac436bb0f514cd0c89
2025-05-23T12:23:37.393Z DEBUG   lightningd: Adding block 131: 0f25c9c05cf821baae39ae0102d3cedc4bbe5fa6c4f0f25755c8ef1a4f6afc70
2025-05-23T12:23:37.400Z DEBUG   lightningd: Adding block 132: 6e570f37613660d7aaa950c6b2b34645b9de95be653cd02ccd3404521e8a758e
2025-05-23T12:23:37.406Z DEBUG   lightningd: Adding block 133: 12e5883c933496691f6d66624ca4157bf0f461ef2c151a6015117a6a8df406a2
2025-05-23T12:23:37.413Z DEBUG   lightningd: Adding block 134: 531190c3f7d58759e10bc6b27ce610139f4924cb678ed3c8e9e81f532891800d
2025-05-23T12:23:37.419Z DEBUG   lightningd: Adding block 135: 26f7d702227fbbac3b9095694b7ff00c3605d6820d6751a65bc3a546fd23a145
2025-05-23T12:23:37.426Z DEBUG   lightningd: Adding block 136: 50e6c1b11f54bdc1c0061793590c11b672bfcd267cff6b14bf42b6eca990b75f
2025-05-23T12:23:37.432Z DEBUG   lightningd: Adding block 137: 639683584dc65760ea1520dac0d67ab0801bc47e3395a1a995bd6255712fd6df
2025-05-23T12:23:37.439Z DEBUG   lightningd: Adding block 138: 589233237b8a096fa2576ac065c59d7e7f41d92df47a36efb082dcd5fbd0736c
2025-05-23T12:23:37.446Z DEBUG   lightningd: Adding block 139: 2dc2675408fb031dfc53f8a33ad1c5a8123c8d4df35035741b4e5905baa50f0a
2025-05-23T12:23:37.453Z DEBUG   lightningd: Adding block 140: 17bb489fc557b2957e6a643b0b43a8c7a933f848adb514ce5f8891d9eb1cb051
2025-05-23T12:23:37.459Z DEBUG   lightningd: Adding block 141: 111050ed0ad17d0ba568ffde4cf3572f32fcfc1ddc769ca4a644952d2b131a48
2025-05-23T12:23:37.466Z DEBUG   lightningd: Adding block 142: 4bf11c34c66fdeb5769a84d30579a00ed5a5b6c6eeec805d33cdf04ef07de152
2025-05-23T12:23:37.472Z DEBUG   lightningd: Adding block 143: 58c08a1845aae9d3de4dd316b21e0c4da702204af52b1604ed64f0cdeec682aa
2025-05-23T12:23:37.478Z DEBUG   lightningd: Adding block 144: 54afde762b0738352f9a929b30529a4d0a2c3385a8f81f33c7c0274f9c942490
2025-05-23T12:23:37.484Z DEBUG   lightningd: Adding block 145: 069f8cab2afc92230c44996f040e4d39120aa554aff22a1180cd30fdfd5fd367
2025-05-23T12:23:37.490Z DEBUG   lightningd: Adding block 146: 141e33531f7499580089af322e32183a2ee9c7cfedbc4f24104ed7163267d7fb
2025-05-23T12:23:37.497Z DEBUG   lightningd: Adding block 147: 08dd7455a80c9939938a9355951edfa66015b1c0c34afad1c1dae7baff476bb1
2025-05-23T12:23:37.503Z DEBUG   lightningd: Adding block 148: 3512356b7ad4400d58ee8a42ae739acb5a8015e10636049206adda6ad6f9cf21
2025-05-23T12:23:37.508Z DEBUG   lightningd: Adding block 149: 57f4b8d7dbe1a200e0d1bea8aa4316b8722b9c0be687f61c34adfc7daaa9b564
2025-05-23T12:23:37.515Z DEBUG   lightningd: Adding block 150: 104c0924585829f7679f9ccdc454d84399ca4953b6a31286954030693603996f
2025-05-23T12:23:37.521Z DEBUG   gossipd: REPLY WIRE_GOSSIPD_NEW_BLOCKHEIGHT_REPLY with 0 fds
2025-05-23T12:23:37.523Z DEBUG   plugin-bookkeeper: account wallet has balance 0msat
2025-05-23T12:23:37.523Z INFO    plugin-bookkeeper: account wallet not found, adding
2025-05-23T12:23:37.523Z DEBUG   plugin-bookkeeper: Snapshot balances updated
2025-05-23T12:23:42.312Z DEBUG   gossipd: seeker: no peers, waiting
2025-05-23T12:23:47.316Z DEBUG   gossipd: seeker: no peers, waiting
2025-05-23T12:23:47.317Z DEBUG   gossipd: seeker: need more peers for gossip (have 0)
2025-05-23T12:23:47.317Z DEBUG   gossipd: seeker: no more potential peers found
2025-05-23T12:23:47.321Z DEBUG   lightningd: channel_gossip: no longer in startup mode
2025-05-23T12:23:51.984Z DEBUG   hsmd: Client: Received message 28 from client
2025-05-23T12:23:52.092Z DEBUG   0323ec7778fa9b479faf2ae69387ad7ddfdc9e288422e1bc21dde0df5caf790ddf-hsmd: Got WIRE_HSMD_ECDH_REQ
2025-05-23T12:23:52.092Z DEBUG   hsmd: Client: Received message 1 from client
